title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9240,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8074,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2392180,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1252895,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,529085,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,216817,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,456453,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1141907,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,268527,
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,265498,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120186,
"8 Mile",movie,"Drama, Music",2002,tt0298203,7.2,339837,
"Paradise Now",movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24550,
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,748946,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,148414,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1236058,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252989,
"Before Sunrise",movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,361469,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1385296,
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,191121,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,303804,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,191442,
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,58053,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1078948,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,554208,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,270641,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,842018,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,225112,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,144060,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1769896,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107221,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1308458,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11359,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,984438,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213954,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1385504,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,949826,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,972064,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14264,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344908,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,553323,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2119439,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1882902,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2088433,
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,463160,
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,916993,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,342474,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,719736,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,65057,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,885777,
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,403348,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,217022,
"48 Hrs.",movie,"Action, Comedy, Crime",1982,tt0083511,6.9,90121,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,512705,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3036544,
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,650159,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,428365,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,600409,
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,492074,
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,604888,
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,391372,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,809473,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,175340,
"The Name of the Rose",movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,123230,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,821143,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,502592,
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,222023,
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,288891,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,504484,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110582,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136759,
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,467045,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2137392,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1438042,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23945,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,248685,
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,237944,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,460677,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34872,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,421016,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1653688,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3062238,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1238920,
"A River Runs Through It",movie,Drama,1992,tt0105265,7.2,68103,
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,285414,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,378920,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,50238,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97852,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32275,
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,454721,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,505933,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1125703,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,461162,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,354444,
"Once Upon a Time in the West",movie,"Drama, Western",1968,tt0064116,8.5,370278,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,69009,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,402142,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,341043,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,280278,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,414897,
"A Fistful of Dollars",movie,"Drama, Western",1964,tt0058461,7.9,245481,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,207124,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,233500,
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,121503,
"Summer in Berlin",movie,Drama,2005,tt0477877,6.9,3060,
8½,movie,Drama,1963,tt0056801,8,129718,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,972921,
"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1531874,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,447017,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,498684,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,82848,
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10609,
"Sissi: The Young Empress",movie,"Drama, History",1956,tt0049762,6.6,7736,
"Sissi: The Fateful Years of an Empress",movie,"Drama, History, Romance",1957,tt0050974,6.6,6328,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,235508,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18794,
"My Own Private Idaho",movie,Drama,1991,tt0102494,6.9,64793,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42193,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83367,
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,87064,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1144742,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,209793,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1494195,
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1136936,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113386,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,168416,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56387,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.5,559929,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,367590,
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1122424,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,595887,
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,222937,
"Once Were Warriors",movie,"Crime, Drama",1994,tt0110729,7.9,38295,
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153939,
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,386663,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,62201,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,756339,
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18981,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,190546,
Dogville,movie,"Crime, Drama",2003,tt0276919,8,164748,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,927792,
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,750422,
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,672293,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,395084,
"Starship Troopers",movie,"Action, Adventure, Sci-Fi",1997,tt0120201,7.3,336483,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,484255,
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,549930,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,327415,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,213876,
"Next Door",movie,"Mystery, Thriller",2005,tt0453383,6.4,10981,
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51720,
"The Man Who Knew Too Much",movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,73305,
"The Lives of Others",movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,429546,
"Monty Python's Life of Brian",movie,Comedy,1979,tt0079470,8,429598,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,311737,
"Big Fish",movie,"Adventure, Drama, Fantasy",2003,tt0319061,8,470491,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,253561,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,474320,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,131783,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,516000,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1344739,
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,841379,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,825677,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2165632,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,654086,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,562413,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,642629,
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,420206,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247874,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,121163,
"The Passion of the Christ",movie,Drama,2004,tt0335345,7.3,264136,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,491155,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136921,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,154520,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,472281,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,316154,
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,205158,
"Easy Rider",movie,"Adventure, Drama",1969,tt0064276,7.2,120905,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,364404,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1194827,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,279095,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,782441,
"Boyz n the Hood",movie,"Crime, Drama",1991,tt0101507,7.8,162973,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,595935,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,171960,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,245251,
"Central Station",movie,Drama,1998,tt0140888,8,48198,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,683755,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,908696,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,733137,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,732933,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,721037,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,669818,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.8,2347018,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,304460,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98750,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25133,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,531449,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,116290,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,621730,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1218784,
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,243575,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,631221,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1334039,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,244397,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16629,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,570657,
"Closely Watched Trains",movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14510,
"The Fog",movie,"Horror, Mystery",2005,tt0432291,3.7,40457,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131914,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136730,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,153951,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1922964,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,777407,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,534129,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,348955,
"Austin Powers: International Man of Mystery",movie,"Adventure, Comedy",1997,tt0118655,7,266804,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,257026,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214515,
"Barren Lives",movie,Drama,1963,tt0057654,7.5,3203,
"American Graffiti",movie,"Comedy, Drama",1973,tt0069704,7.4,102851,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,226308,
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,189091,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,178315,
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,64103,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,286926,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,449571,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,441541,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1577769,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,199544,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,370405,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,175217,
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,36177,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,32044,
"A Man for All Seasons",movie,"Biography, Drama, History",1966,tt0060665,7.7,38919,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,283360,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69391,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89777,
"Cinderella Man",movie,"Biography, Drama, Romance",2005,tt0352248,8,204916,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106497,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,282206,
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,8,119497,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,209203,
"Lawrence of Arabia",movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,330718,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,763103,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,170204,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,500388,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,400368,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,412259,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,162398,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,156436,
"Adam's Apples",movie,"Comedy, Crime, Drama",2005,tt0418455,7.7,57111,
"Whale Rider",movie,"Drama, Family",2002,tt0298228,7.5,44911,
"Point Break",movie,"Action, Crime, Thriller",1991,tt0102685,7.3,215175,
"The Thirteenth Floor",movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7,80353,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1523130,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,79265,
Babel,movie,Drama,2006,tt0449467,7.5,324389,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,118018,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,262386,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,89199,
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,262169,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,174235,
"Don't Worry, I'm Fine",movie,Drama,2006,tt0485241,7.3,11574,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,139101,
"Bridge to Terabithia",movie,"Drama, Family, Fantasy",2007,tt0398808,7.2,183353,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138687,
300,movie,"Action, Drama",2006,tt0416449,7.6,893715,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,71010,
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,60091,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,114088,
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,tt0120868,6.8,14255,
"Torrente 2: Mission in Marbella",movie,"Action, Comedy, Crime",2001,tt0257231,6.4,8330,
"Torrente 3: El protector",movie,"Comedy, Crime",2005,tt0444505,5.6,6576,
"Four Minutes",movie,"Drama, Music",2006,tt0461694,7.3,7612,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,786061,
Frida,movie,"Biography, Drama, Romance",2002,tt0120679,7.3,99158,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39866,
"Monster's Ball",movie,"Drama, Romance",2001,tt0285742,7,96668,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,290799,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,190430,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145665,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,609590,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8529,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,135368,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,594829,
"Cutthroat Island",movie,"Action, Adventure, Comedy",1995,tt0112760,5.7,32100,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62430,
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,727412,
"Take My Eyes",movie,"Drama, Romance",2003,tt0350193,7.4,7742,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1495095,
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,273704,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173984,
"Little Children",movie,"Drama, Romance",2006,tt0404203,7.5,119883,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,180022,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,362344,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,241004,
"Curse of the Golden Flower",movie,"Action, Drama, Romance",2006,tt0473444,7,46832,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172890,
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,76719,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,452112,
"The Lost Boys",movie,"Comedy, Horror",1987,tt0093437,7.2,170570,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57288,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43524,
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,326261,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250966,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,300627,
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,216576,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,349944,
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12188,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,346626,
"Secret Window",movie,"Drama, Mystery, Thriller",2004,tt0363988,6.5,216667,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,262765,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110635,
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,264001,
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,183557,
"Liar Liar",movie,"Comedy, Fantasy",1997,tt0119528,6.9,351711,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103719,
"Fried Green Tomatoes",movie,Drama,1991,tt0101921,7.7,88061,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6.1,86469,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,335004,
"Forces of Nature",movie,"Comedy, Romance",1999,tt0141098,5.5,36812,
"The Net",movie,"Action, Crime, Drama",1995,tt0113957,6,77630,
"Freedom Writers",movie,"Biography, Crime, Drama",2007,tt0463998,7.6,90033,
"The Motorcycle Diaries",movie,"Adventure, Biography, Drama",2004,tt0318462,7.7,107217,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111759,
Hostel,movie,Horror,2005,tt0450278,5.9,199043,
"Hostel: Part II",movie,Horror,2007,tt0498353,5.5,99640,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14425,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,74878,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107602,
"The Incredible Hulk",movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,546835,
"Iron Man",movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1179305,
"The Forbidden Kingdom",movie,"Action, Adventure, Fantasy",2008,tt0865556,6.5,111924,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,358794,
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,171279,
Footloose,movie,"Drama, Music, Romance",1984,tt0087277,6.6,98546,
