title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Tale of Despereaux",movie,"Adventure, Animation, Comedy",2008,tt0420238,6.1,40866,
"Yes Man",movie,"Comedy, Romance",2008,tt1068680,6.8,396045,
"Around the World in 80 Days",movie,"Action, Adventure, Comedy",2004,tt0327437,5.9,97774,
"Muppets from Space",movie,"Adventure, Comedy, Family",1999,tt0158811,6.2,21380,
Rounders,movie,"Crime, Drama",1998,tt0128442,7.3,164998,
"A Walk to Remember",movie,"Drama, Romance",2002,tt0281358,7.3,227407,
"The Romance",movie,Romance,2006,tt0778020,6.1,137,
"The Story of My Life",movie,"Comedy, Romance",2004,tt0383025,6.6,1793,
"Miami Supercops",movie,"Action, Comedy, Crime",1985,tt0089591,6.1,8751,
Martha,movie,"Drama, Romance, Thriller",1974,tt0070374,7.5,3180,
"The Men Who Stare at Goats",movie,"Comedy, War",2009,tt1234548,6.2,140143,
"She's All That",movie,"Comedy, Romance",1999,tt0160862,6,107970,
Spawn,movie,"Action, Crime, Drama",1997,tt0120177,5.2,74753,
Bugsy,movie,"Biography, Crime, Drama",1991,tt0101516,6.8,32284,
K-9,movie,"Action, Comedy, Crime",1989,tt0097637,6.1,36858,
"True Crime",movie,"Crime, Drama, Mystery",1999,tt0139668,6.6,40046,
"The Confessor",movie,"Drama, Mystery, Thriller",2004,tt0372303,5.2,1648,
"Two Lovers",movie,"Drama, Romance",2008,tt1103275,7,44981,
"For Love of the Game",movie,"Drama, Romance, Sport",1999,tt0126916,6.6,39150,
"Gangster No. 1",movie,"Crime, Drama, Thriller",2000,tt0210065,6.7,15374,
"Tequila Sunrise",movie,"Crime, Drama, Romance",1988,tt0096244,6.1,35215,
"Mansfield Park",movie,"Comedy, Drama, Romance",1999,tt0178737,7,26859,
Marlene,movie,"Biography, Drama, Music",2000,tt0192295,5.7,682,
"The Young Schiller",movie,"Biography, Drama",2005,tt0458469,6.3,410,
"Bobby Z",movie,"Action, Crime, Thriller",2007,tt0473188,5.8,15740,
"Friday After Next",movie,"Comedy, Drama",2002,tt0293815,5.8,31719,
War,movie,"Action, Thriller",2007,tt0499556,6.2,99634,
"The Age of Innocence",movie,"Drama, Romance",1993,tt0106226,7.2,71499,
"Manhattan Murder Mystery",movie,"Comedy, Mystery",1993,tt0107507,7.3,48308,
"Get Carter",movie,"Action, Crime, Drama",2000,tt0208988,5.2,38214,
"The Money Pit",movie,Comedy,1986,tt0091541,6.4,65228,
"28 Days",movie,"Comedy, Drama",2000,tt0191754,6.1,56358,
"Next Friday",movie,Comedy,2000,tt0195945,6.1,46146,
"Hustle & Flow",movie,"Crime, Drama, Music",2005,tt0410097,7.3,44609,
Driven,movie,"Action, Drama, Sport",2001,tt0132245,4.6,44264,
"Death Race",movie,"Action, Sci-Fi, Thriller",2008,tt0452608,6.4,224671,
Cujo,movie,"Horror, Thriller",1983,tt0085382,6.1,53575,
"Perfect Blue",movie,"Animation, Crime, Drama",1997,tt0156887,8,109195,
"The Karate Kid Part III",movie,"Action, Drama, Family",1989,tt0097647,5.3,74162,
"The Road to El Dorado",movie,"Adventure, Animation, Comedy",2000,tt0138749,6.9,114575,
"Castle in the Sky",movie,"Adventure, Animation, Family",1986,tt0092067,8,191785,
"The Flying Classroom",movie,"Comedy, Drama, Family",2003,tt0311141,6.2,1485,
"Bride Wars",movie,"Comedy, Romance",2009,tt0901476,5.5,119851,
"Madagascar: Escape 2 Africa",movie,"Adventure, Animation, Comedy",2008,tt0479952,6.6,261019,
"Sherlock Holmes",movie,"Action, Adventure, Mystery",2009,tt0988045,7.5,692244,
Outlander,movie,"Action, Adventure, Sci-Fi",2008,tt0462465,6.2,80317,
"The Crow: City of Angels",movie,"Action, Crime, Fantasy",1996,tt0115986,4.6,22973,
"Shark Tale",movie,"Adventure, Animation, Comedy",2004,tt0307453,6,206881,
"Emil and the Detectives",movie,"Adventure, Comedy, Crime",2001,tt0256739,6,1345,
"Center Stage",movie,"Drama, Music, Romance",2000,tt0210616,6.7,23473,
"Under Suspicion",movie,"Crime, Drama, Thriller",2000,tt0164212,6.4,29725,
"Psycho II",movie,"Crime, Horror, Mystery",1983,tt0086154,6.6,33436,
"The Cat in the Hat",movie,"Adventure, Comedy, Family",2003,tt0312528,4.1,91415,
"After the Sunset",movie,"Action, Comedy, Crime",2004,tt0367479,6.2,51077,
"The Girl Next Door",movie,"Comedy, Drama, Romance",2004,tt0265208,6.7,253683,
"Peter Pan",movie,"Adventure, Family, Fantasy",2003,tt0316396,6.8,82949,
"The Medallion",movie,"Action, Comedy, Fantasy",2003,tt0288045,5.2,45239,
"Cradle 2 the Grave",movie,"Action, Crime, Drama",2003,tt0306685,5.8,47921,
"Mean Girls",movie,Comedy,2004,tt0377092,7.1,464547,
"Kangaroo Jack",movie,"Action, Adventure, Comedy",2003,tt0257568,4.5,34946,
Friday,movie,"Comedy, Drama",1995,tt0113118,7.2,132186,
Loser,movie,"Comedy, Romance",2000,tt0217630,5.3,31316,
"The Slurb",movie,"Comedy, Family, Fantasy",2001,tt0265691,5.7,1280,
Tomcats,movie,Comedy,2001,tt0246989,5.3,20365,
"It Could Happen to You",movie,"Comedy, Drama, Romance",1994,tt0110167,6.4,46947,
"You Don't Mess with the Zohan",movie,"Action, Comedy",2008,tt0960144,5.6,221743,
[Rec]²,movie,"Horror, Thriller",2009,tt1245112,6.5,82009,
Airport,movie,"Action, Drama, Thriller",1970,tt0065377,6.6,23407,
"Dirty Dancing: Havana Nights",movie,"Drama, Music, Romance",2004,tt0338096,5.9,30305,
"The Taste of Others",movie,"Comedy, Drama, Romance",2000,tt0216787,7.2,10795,
"The Squid and the Whale",movie,"Comedy, Drama",2005,tt0367089,7.3,93440,
"Daddy Day Care",movie,"Comedy, Family",2003,tt0317303,5.6,76803,
"Far from Heaven",movie,"Drama, Romance",2002,tt0297884,7.3,50618,
Torque,movie,"Action, Comedy, Crime",2004,tt0329691,4.2,30124,
Elf,movie,"Adventure, Comedy, Family",2003,tt0319343,7.1,330567,
"The Day of the Beast",movie,"Action, Comedy, Crime",1995,tt0112922,7.3,25145,
"Darkness Falls",movie,"Fantasy, Horror, Mystery",2003,tt0282209,5,34612,
"Escape from Alcatraz",movie,"Biography, Crime, Drama",1979,tt0079116,7.5,157759,
"What a Girl Wants",movie,"Comedy, Drama, Family",2003,tt0286788,5.8,68972,
"Police Story 2",movie,"Action, Comedy, Crime",1988,tt0095403,7.1,24044,
"Kabhi Khushi Kabhie Gham...",movie,"Drama, Musical, Romance",2001,tt0248126,7.4,60061,
"Sydney White",movie,"Comedy, Drama, Romance",2007,tt0815244,6.2,52755,
"Made of Honor",movie,"Comedy, Romance",2008,tt0866439,5.8,78238,
"Without a Paddle",movie,"Adventure, Comedy, Mystery",2004,tt0364751,5.8,52982,
"The Tuxedo",movie,"Action, Comedy, Sci-Fi",2002,tt0290095,5.4,91367,
"Infernal Affairs",movie,"Crime, Drama, Mystery",2002,tt0338564,8,135229,
"Little Shop of Horrors",movie,"Comedy, Horror, Musical",1986,tt0091419,7.1,91223,
